Circ Branch,	Rank of Transaction Type along Circ Branch,	Transaction Type
Central Library,	1,	6541681
Kings Highway,	2,	3349236
Midwood,	3,	2500819
McKinley Park,	4,	2231039
Services for Older Adults,	5,	1496422
New Utrecht,	6,	1465113
Borough Park,	7,	1450182
Park Slope,	8,	1439180
Highlawn,	9,	1368433
Bay Ridge,	10,	1287041
Kensington,	11,	1285206
Mapleton,	12,	1232812
Flatlands,	13,	1211497
Ryder,	14,	1198945
Kings Bay,	15,	1102754
Brooklyn Heights,	16,	1010150
Cortelyou,	17,	904631
Clinton Hill,	18,	881886
Dyker,	19,	854612
Sunset Park,	20,	843360
Crown Heights,	21,	828940
Sheepshead Bay,	22,	814795
Carroll Gardens,	23,	810601
Windsor Terrace,	24,	792973
Leonard,	25,	767994
Fort Hamilton,	26,	749480
Brighton Beach,	27,	736149
Homecrest,	28,	695596
Ulmer Park,	29,	689942
Gravesend,	30,	674678
Gerritsen Beach,	31,	566941
Eastern Parkway,	32,	481618
Pacific,	33,	472425
Williamsburgh,	34,	463702
Mill Basin,	35,	451489
Greenpoint,	36,	436237
Macon,	37,	389234
Flatbush,	38,	356217
Coney Island,	39	352006
DeKalb,	40,	344734
Washington Irving	41	336176
New Lots,	42	322822
Canarsie,	43	319570
Bushwick,	44	315497
Cypress Hills,	45	306159
Spring Creek,	46	293403
Paerdegat,	47	275647
Clarendon,	48	271206
Red Hook,	49	254468
Bedford,	50	253920
Brower Park,	51	223399
Walt Whitman,	52	216390
Arlington,	53,	214183
Jamaica Bay,	54,	210795
Saratoga,	55,	204594
Stone Avenue,	56,	165339
Marcy,	57,	159043
East Flatbush,	58,	151556
Rugby,	59,	127005
Brownsville,	60,	121320
No Branch,	61,	88631
Bookmobile,	62,	45104
Adams Street,	63,	43245
Center For Brooklyn History,	64,	29275
Kidsmobile,	65,	13623
Annex,	66,	8603
Brookdale Pop-Up,	67,	1102
Bookmobile 2,	68,	59
