	Rank of Sessions along Branch (for branch compare),	Sessions,
Central Library,	1	7,587
Virtual,	2	7,487
New Lots,	3	1,288
Eastern Parkway,	4	963
Bedford,	5	549
Borough Park,	6	360
Flatbush,	7	331
Greenpoint,	8	299
Bushwick,	9	278
Red Hook,	10	269
Cypress Hills,	11	264
Paerdegat,	12	259
Macon,	13	240
Gerritsen Beach,	14	218
Brighton Beach,	15	197
DeKalb,	16	192
Sheepshead Bay,	17	191
Kensington,	18	174
Dyker,	19	171
Flatlands,	20	163
Rugby,	21	150
Carroll Gardens,	22	144
Clinton Hill,	23	138
Adams Street,	24	135
Brownsville,	24	135
Pacific,	26	134
Park Slope,	26	134
Washington Irving,	28	131
Highlawn,	29	130
Arlington,	30	127
Coney Island,	30	127
Spring Creek,	32	118
Homecrest,	33	117
Leonard,	34	115
Crown Heights,	35	111
Marcy,	36	110
Windsor Terrace,	37	108
Center for Brooklyn History,	38	107
New Utrecht	39	103
Jamaica Bay	40	102
Midwood	41	101
Kings Bay	42	99
Williamsburgh	43	98
Canarsie	44	90
Stone Avenue	45	86
Sunset Park	45	86
Walt Whitman	45	86
Gravesend	48	80
Mapleton	49	79
Cortelyou	50	73
Kings Highway	51	70
McKinley Park	52	63
Kidsmobile	53	60
Mill Basin	54	59
Brower Park	55	55
Ryder	56	49
Brooklyn Heights	57	46
Ulmer Park	58	35
Bay Ridge	59	28
Annex	60	24
Clarendon	61	23
Fort Hamilton	62	18
Saratoga	63	6
East Flatbush	64	4
